2 theta	A_{s,sc}	A_{c,sc}	A_{c,c}
60.3	0.3180787	0.5772833	0.9249341
60.4	0.3181263	0.5774957	0.9249163
60.5	0.3181739	0.5777642	0.9248933
60.6	0.3182216	0.5781881	0.9248567
60.7	0.3182693	0.5785487	0.9248267
60.8	0.3183172	0.5786105	0.9248235
60.9	0.3183649	0.5786792	0.9248192
61	0.3184128	0.5787556	0.9248145
61.1	0.3184608	0.5788398	0.924809
61.2	0.3185088	0.5789329	0.9248024
61.3	0.3185568	0.5790352	0.9247949
61.4	0.3186049	0.5791484	0.9247866
61.5	0.318653	0.5792737	0.924777
61.6	0.3187011	0.5794132	0.9247657
61.7	0.3187494	0.5795702	0.924753
61.8	0.3187976	0.579749	0.9247385
61.9	0.318846	0.5799575	0.9247208
62	0.3188942	0.5802102	0.9246993
62.1	0.3189427	0.5805427	0.9246703
62.2	0.3189912	0.5811411	0.9246178
62.3	0.3190396	0.5815046	0.9245888
62.4	0.3190882	0.5815139	0.9245914
62.5	0.3191367	0.5815256	0.9245936
62.6	0.3191853	0.5815394	0.9245957
62.7	0.319234	0.5815553	0.9245977
62.8	0.3192827	0.5815732	0.9245991
62.9	0.3193316	0.5815934	0.9246006
63	0.3193803	0.5816156	0.9246013
63.1	0.3194291	0.5816398	0.9246022
63.2	0.3194781	0.5816662	0.9246024
63.3	0.319527	0.5816948	0.9246027
63.4	0.3195759	0.5817254	0.9246028
63.5	0.3196249	0.581758	0.9246023
63.6	0.319674	0.5817928	0.9246016
63.7	0.3197231	0.5818297	0.9246005
63.8	0.3197722	0.5818688	0.9245996
63.9	0.3198213	0.5819101	0.924598
64	0.3198705	0.5819535	0.9245962
64.1	0.3199198	0.5819991	0.9245941
64.2	0.3199691	0.5820471	0.9245917
64.3	0.3200184	0.5820972	0.9245887
64.4	0.3200678	0.5821496	0.9245859
64.5	0.3201171	0.5822045	0.9245826
64.6	0.3201666	0.5822616	0.9245791
64.7	0.320216	0.5823211	0.9245753
64.8	0.3202655	0.582383	0.9245711
64.9	0.3203151	0.5824476	0.9245664
65	0.3203647	0.5825146	0.9245618
65.1	0.3204143	0.5819164	0.9246178
65.2	0.320464	0.5816789	0.9246421
65.3	0.3205137	0.5815282	0.9246584
65.4	0.3205634	0.5814213	0.9246709
65.5	0.3206131	0.5813429	0.9246808
65.6	0.320663	0.5812851	0.9246888
65.7	0.3207129	0.5812438	0.9246948
65.8	0.3207627	0.5812164	0.9246998
65.9	0.3208126	0.5812009	0.9247035
66	0.3208625	0.5811961	0.9247062
66.1	0.3209125	0.5812009	0.9247081
66.2	0.3209625	0.581215	0.9247087
66.3	0.3210125	0.5812379	0.9247089
